,Time,Force,GoalForce,Pos,k
0,1724504945.1097386,0.2185,0.23,3954.52,0.04
1,1724504945.1107671,0.217,0.36,3957.01,0.04
2,1724504945.119717,0.2245,0.36,3957.49,0.04
3,1724504945.1296737,0.2315,0.42,3957.97,0.04
4,1724504945.1396632,0.237,0.42,3958.61,0.04
5,1724504945.148598,0.243,0.42,3959.24,0.04
6,1724504945.158611,0.2485,0.49,3959.88,0.04
7,1724504945.1685445,0.255,0.49,3960.76,0.04
8,1724504945.1795425,0.262,0.49,3961.59,0.04
9,1724504945.188517,0.27049999999999996,0.55,3962.41,0.04
10,1724504945.1984644,0.27849999999999997,0.55,3963.35,0.04
11,1724504945.2094889,0.2875,0.55,3964.21,0.04
12,1724504945.2194095,0.29600000000000004,0.55,3965.1,0.04
13,1724504945.2294538,0.3045,0.62,3966.05,0.04
14,1724504945.2393923,0.313,0.62,3967.09,0.04
15,1724504945.2493806,0.32199999999999995,0.62,3968.03,0.04
16,1724504945.2583055,0.3305,0.69,3969.08,0.04
17,1724504945.2683039,0.33899999999999997,0.69,3970.17,0.04
18,1724504945.2792733,0.349,0.69,3971.39,0.04
19,1724504945.2892206,0.359,0.75,3972.66,0.04
20,1724504945.299194,0.3705,0.75,3973.97,0.04
21,1724504945.3091674,0.382,0.75,3975.21,0.04
22,1724504945.3191862,0.394,0.82,3976.68,0.04
23,1724504945.3291154,0.40700000000000003,0.82,3978.11,0.04
24,1724504945.339123,0.4205,0.82,3979.37,0.04
25,1724504945.3491096,0.43200000000000005,0.89,3980.72,0.04
26,1724504945.359034,0.441,0.89,3982.25,0.04
27,1724504945.3690073,0.44599999999999995,0.89,3983.6,0.04
28,1724504945.3790178,0.44899999999999995,0.95,3985.15,0.04
29,1724504945.3889818,0.45199999999999996,0.95,3987.07,0.04
30,1724504945.3989666,0.45799999999999996,0.95,3988.88,0.04
31,1724504945.4089267,0.4685,1.02,3990.75,0.04
32,1724504945.4188998,0.482,1.02,3992.65,0.04
33,1724504945.4288547,0.49850000000000005,1.02,3994.38,0.04
34,1724504945.4389038,0.5155000000000001,1.08,3996.1,0.04
35,1724504945.448941,0.532,1.08,3997.99,0.04
36,1724504945.4588847,0.5489999999999999,1.08,3999.84,0.04
37,1724504945.4689224,0.5675,1.15,4001.83,0.04
38,1724504945.4788697,0.5895,1.15,4003.92,0.04
39,1724504945.4888043,0.6134999999999999,1.15,4005.95,0.04
40,1724504945.499825,0.639,1.15,4007.88,0.04
41,1724504945.5087895,0.665,1.21,4009.7,0.03935899591445923
42,1724504945.5197217,0.6905,1.21,4011.74,0.03879505550265313
43,1724504945.5296943,0.714,1.21,4013.66,0.03830150504767896
44,1724504945.5396926,0.7375,1.28,4015.97,0.037783828287065044
45,1724504945.5487325,0.763,1.28,4018.37,0.03723206690735222
46,1724504945.558635,0.7835,1.28,4020.48,0.036554065988540066
47,1724504945.5685906,0.8145,1.34,4022.71,0.035683580991100736
48,1724504945.5785897,0.8465,1.34,4024.88,0.03451702204180193
49,1724504945.588537,0.8785000000000001,1.34,4027.01,0.03318845609723716
50,1724504945.5985103,0.9095,1.41,4029.36,0.03200869005828371
51,1724504945.6085258,0.94,1.41,4031.94,0.030834836626731785
52,1724504945.618457,0.972,1.41,4034.33,0.029791215760722845
53,1724504945.629428,1.0075,1.48,4036.79,0.028930932576848645
54,1724504945.6394403,1.046,1.48,4039.48,0.02808273535555027
55,1724504945.6493907,1.0865,1.48,4042.18,0.027335412367451985
56,1724504945.6593833,1.129,1.54,4044.68,0.026515793038250923
57,1724504945.669373,1.173,1.54,4047.66,0.025735612570800113
58,1724504945.678297,1.218,1.54,4050.3,0.025038125575683468
59,1724504945.688309,1.264,1.61,4052.96,0.024497012572975714
60,1724504945.6992824,1.3090000000000002,1.61,4055.85,0.02399956944062569
61,1724504945.7092488,1.355,1.61,4058.47,0.023569606169828103
62,1724504945.7192152,1.4015,1.67,4060.9,0.023146155223043256
63,1724504945.7292001,1.4465,1.67,4063.77,0.02272720228414967
64,1724504945.7391846,1.4905,1.67,4066.46,0.022373710639309
65,1724504945.7491076,1.534,1.74,4068.91,0.02212860862198273
66,1724504945.759168,1.579,1.74,4071.53,0.021914075991059538
67,1724504945.769099,1.625,1.74,4073.94,0.021792976868640065
68,1724504945.7790277,1.6720000000000002,1.8,4076.27,0.021769722420713913
69,1724504945.78905,1.7195,1.8,4078.73,0.021741580510504496
70,1724504945.7990026,1.766,1.8,4081.14,0.021806604305834282
71,1724504945.8089478,1.8125,1.8,4083.17,0.021945600746510065
72,1724504945.8189478,1.858,1.87,4085.2,0.02221693474510697
73,1724504945.8288941,1.899,1.87,4087.09,0.022438437150055654
74,1724504945.8389091,1.9354999999999998,1.87,4088.88,0.022758753215790826
75,1724504945.848899,1.9689999999999999,1.94,4090.69,0.02325506347315404
76,1724504945.8589618,2.0,1.94,4092.72,0.023748382035466073
77,1724504945.8689816,2.032,1.94,4094.43,0.024428157079433237
78,1724504945.8789566,2.066,2.0,4096.04,0.025265247882796677
79,1724504945.8888838,2.1,2.0,4097.55,0.0262179203433335
80,1724504945.898895,2.1315,2.0,4098.77,0.027265000576007975
81,1724504945.908929,2.1574999999999998,2.07,4099.87,0.028503477112259222
82,1724504945.9196422,2.177,2.07,4101.07,0.02951505254430093
83,1724504945.929615,2.191,2.07,4102.24,0.030627029499910932
84,1724504945.9396324,2.203,2.13,4103.22,0.031763751308473344
85,1724504945.9495628,2.2154999999999996,2.13,4104.26,0.032635921836214415
86,1724504945.959536,2.2295,2.13,4105.41,0.033693566561028794
87,1724504945.9695344,2.245,2.2,4106.61,0.03467587014164219
88,1724504945.9785104,2.263,2.2,4107.72,0.03576402407996973
89,1724504945.9884923,2.2845,2.2,4108.77,0.036802683774648196
90,1724504945.998432,2.3070000000000004,2.27,4109.74,0.03791037567319103
91,1724504946.0084054,2.3289999999999997,2.27,4110.74,0.03883417912895943
92,1724504946.019419,2.3475,2.27,4111.65,0.039783730449457155
93,1724504946.0293493,2.364,2.27,4112.48,0.04060971715347098
94,1724504946.0393233,2.3795,2.33,4113.36,0.0416027037348997
95,1724504946.0492969,2.394,2.33,4114.22,0.04229396310865743
96,1724504946.0592687,2.409,2.33,4115.08,0.043224128878890246
97,1724504946.0692418,2.425,2.4,4115.97,0.044111607861619086
98,1724504946.0792167,2.4429999999999996,2.4,4116.97,0.04489777838477572
99,1724504946.0891893,2.4635,2.4,4117.96,0.04564864170809758
100,1724504946.0991771,2.4875,2.47,4118.9,0.04630855529540931
101,1724504946.1091359,2.5140000000000002,2.47,4119.82,0.04673385896415253
102,1724504946.1191537,2.54,2.47,4120.74,0.04712214867589539
103,1724504946.1291254,2.565,2.53,4121.7,0.04705638148174583
104,1724504946.1390562,2.5885,2.53,4122.57,0.04710933081316262
105,1724504946.1490295,2.612,2.53,4123.37,0.04718049663609841
106,1724504946.1590025,2.634,2.6,4124.1,0.047617377772688076
107,1724504946.168975,2.6535,2.6,4124.86,0.04780470752843547
108,1724504946.1789484,2.6695,2.6,4125.63,0.048126738212659906
109,1724504946.188923,2.6835,2.67,4126.38,0.04827200444831397
110,1724504946.1988962,2.697,2.67,4127.19,0.04805479561353277
111,1724504946.2088776,2.711,2.67,4127.92,0.04802515535114304
112,1724504946.2198403,2.727,2.73,4128.55,0.047964635225159785
113,1724504946.2288563,2.7435,2.73,4129.22,0.048145846112390936
114,1724504946.2387893,2.7595,2.73,4130.03,0.048388393000203894
115,1724504946.249759,2.7744999999999997,2.8,4130.82,0.04870307187030184
116,1724504946.258735,2.792,2.8,4131.74,0.049020874408985386
117,1724504946.2687085,2.8135000000000003,2.8,4132.57,0.04935858584174979
118,1724504946.2790756,2.839,2.8,4133.26,0.049704683751429335
119,1724504946.2890491,2.8655,2.86,4134.01,0.04997708724191655
120,1724504946.2990232,2.8895,2.86,4134.8,0.05032907606289568
121,1724504946.308997,2.9109999999999996,2.86,4135.59,0.050748656446866235
122,1724504946.3189707,2.9325,2.93,4136.44,0.05116347432595376
123,1724504946.3289433,2.955,2.93,4137.2,0.05144774766679302
124,1724504946.338916,2.979,2.93,4137.88,0.05163136513753857
125,1724504946.3488908,3.0025000000000004,2.99,4138.63,0.051733607203282045
126,1724504946.358863,3.0244999999999997,2.99,4139.41,0.051751695558891114
127,1724504946.3688364,3.0454999999999997,2.99,4140.17,0.05180138050210364
128,1724504946.3788087,3.0665,3.06,4140.95,0.05199214509450096
129,1724504946.388782,3.088,3.06,4141.69,0.05214138909866838
130,1724504946.3987558,3.1109999999999998,3.06,4142.43,0.05237983727178361
131,1724504946.408729,3.1345,3.13,4143.16,0.05261722226787852
132,1724504946.4195304,3.1565000000000003,3.13,4143.91,0.05270571763678712
133,1724504946.4285064,3.1795,3.13,4144.63,0.052888821858444714
134,1724504946.439477,3.2015000000000002,3.19,4145.3,0.053022952420960875
135,1724504946.4494808,3.223,3.19,4146.02,0.05317387383590729
136,1724504946.4584267,3.2430000000000003,3.19,4146.74,0.05331990146408013
137,1724504946.4694579,3.2625,3.26,4147.42,0.05353171176108299
138,1724504946.479401,3.2824999999999998,3.26,4148.13,0.053628390697174476
139,1724504946.4893904,3.302,3.26,4148.8,0.053804707006394746
140,1724504946.4993567,3.3209999999999997,3.33,4149.44,0.053987074100178375
141,1724504946.5093312,3.3395,3.33,4150.17,0.05401224705863168
142,1724504946.5192904,3.3579999999999997,3.33,4150.98,0.05416646283824596
143,1724504946.5292702,3.379,3.39,4151.79,0.053701333838337834
144,1724504946.5392106,3.404,3.39,4152.59,0.053282596666485826
145,1724504946.5492594,3.432,3.39,4153.35,0.05290243595737585
146,1724504946.5591996,3.4615,3.46,4154.02,0.052815200640842636
147,1724504946.5691786,3.489,3.46,4154.72,0.05274159841604708
148,1724504946.5791054,3.5115,3.46,4155.48,0.05282731212259243
