,Time,Force,GoalForce,Pos,k
0,1724502587.3737192,0.5455,0.57,3949.03,0.04
1,1724502587.3757143,0.617,0.63,3955.31,0.04
2,1724502587.3846903,0.641,0.63,3956.18,0.04
3,1724502587.3946915,0.6625000000000001,0.66,3957.04,0.04
4,1724502587.4041533,0.683,0.66,3957.94,0.04
5,1724502587.4151118,0.7045,0.66,3958.66,0.04
6,1724502587.4242449,0.725,0.69,3959.33,0.04
7,1724502587.434218,0.744,0.69,3960.08,0.04
8,1724502587.444272,0.76,0.69,3960.81,0.04
9,1724502587.4552052,0.775,0.73,3961.56,0.04
10,1724502587.4641802,0.7905,0.73,3962.39,0.04
11,1724502587.4741535,0.8065,0.73,3963.07,0.04
12,1724502587.4851668,0.8235,0.73,3963.69,0.04
13,1724502587.495116,0.8414999999999999,0.76,3964.36,0.04
14,1724502587.5041149,0.8574999999999999,0.76,3965.03,0.04
15,1724502587.5150447,0.873,0.76,3965.68,0.04
16,1724502587.5250442,0.8885000000000001,0.79,3966.39,0.04
17,1724502587.535026,0.904,0.79,3967.06,0.04
18,1724502587.5450158,0.9195,0.79,3967.67,0.04
19,1724502587.554973,0.935,0.82,3968.32,0.04
20,1724502587.5649536,0.9510000000000001,0.82,3968.92,0.04
21,1724502587.5749347,0.9655,0.82,3969.44,0.04
22,1724502587.5848992,0.9784999999999999,0.85,3969.96,0.04
23,1724502587.5948317,0.9904999999999999,0.85,3970.48,0.04
24,1724502587.6048734,1.0005,0.85,3970.97,0.04
25,1724502587.6147885,1.0105,0.89,3971.43,0.04
26,1724502587.6247513,1.02,0.89,3971.93,0.04
27,1724502587.6347632,1.029,0.89,3972.44,0.04
28,1724502587.6457298,1.0385,0.92,3972.91,0.04
29,1724502587.6547048,1.0485,0.92,3973.38,0.04
30,1724502587.6646447,1.0605,0.92,3973.81,0.04
31,1724502587.6746244,1.0715,0.95,3974.21,0.04
32,1724502587.684591,1.0819999999999999,0.95,3974.65,0.04
33,1724502587.6945634,1.0905,0.95,3975.08,0.04
34,1724502587.7051735,1.0985,0.95,3975.48,0.04
